Estación	Capacidad
Genex Banzer
Vangas
Genex Guaracachi
Genex Trompillo
Genex III
Genex Mutualista
Genex V
Genex IV
Genex II
Jarajorechi
Aracataca
Equipetrol
Pirai
Alemana
López
Viru Viru
Gasco
Beni
Berea
Cabezas
La Teca
Monteverde
Paraguá
Sur Central
Urubó
Orsa Alemana
Rivero
